k,u,omega
32.000000,0.600000,0.944444
33.000000,0.600000,0.944444
34.000000,0.600000,0.944444
35.000000,0.600000,0.944444
36.000000,0.600000,0.944444
37.000000,0.600000,0.937500
38.000000,0.600000,0.944444
39.000000,0.600000,0.944444
40.000000,0.600000,0.944444
41.000000,0.600000,0.937500
42.000000,0.600000,0.944444
43.000000,0.600000,0.937500
44.000000,0.600000,0.944444
45.000000,0.600000,0.944444
46.000000,0.600000,0.944444
47.000000,0.600000,0.937500
48.000000,0.600000,0.944444
49.000000,0.600000,0.937500
50.000000,0.600000,0.951389
51.000000,0.600000,0.937500
52.000000,0.600000,0.937500
53.000000,0.600000,0.944444
54.000000,0.600000,0.944444
55.000000,0.600000,0.944444
56.000000,0.600000,0.944444
57.000000,0.600000,0.937500
58.000000,0.600000,0.937500
59.000000,0.600000,0.944444
60.000000,0.600000,0.944444
61.000000,0.600000,0.944444
62.000000,0.600000,0.937500
63.000000,0.600000,0.944444
64.000000,0.600000,0.937500
65.000000,0.600000,0.944444
66.000000,0.600000,0.944444
67.000000,0.600000,0.944444
68.000000,0.600000,0.937500
69.000000,0.600000,0.937500
70.000000,0.600000,0.944444
71.000000,0.600000,0.951389
72.000000,0.600000,0.937500
73.000000,0.600000,0.937500
74.000000,0.600000,0.944444
75.000000,0.600000,0.937500
76.000000,0.600000,0.944444
77.000000,0.600000,0.944444
78.000000,0.600000,0.944444
79.000000,0.600000,0.937500
80.000000,0.600000,0.937500
81.000000,0.600000,0.944444
82.000000,0.600000,0.944444
83.000000,0.600000,0.944444
84.000000,0.600000,0.937500
85.000000,0.600000,0.944444
86.000000,0.600000,0.937500
87.000000,0.600000,0.951389
88.000000,0.600000,0.937500
89.000000,0.600000,0.937500
90.000000,0.600000,0.944444
91.000000,0.600000,0.937500
92.000000,0.600000,0.951389
93.000000,0.600000,0.937500
94.000000,0.600000,0.944444
95.000000,0.600000,0.937500
96.000000,0.600000,0.937500
97.000000,0.600000,0.944444
98.000000,0.600000,0.944444
99.000000,0.600000,0.944444
100.000000,0.600000,0.937500
101.000000,0.800000,0.944444
102.000000,0.800000,0.965278
103.000000,0.800000,1.048611
104.000000,0.800000,1.104167
105.000000,0.800000,1.145833
106.000000,0.800000,1.187500
107.000000,0.800000,1.222222
108.000000,0.800000,1.243056
109.000000,0.800000,1.263889
110.000000,0.800000,1.270833
111.000000,0.800000,1.298611
112.000000,0.800000,1.298611
113.000000,0.800000,1.305556
114.000000,0.800000,1.312500
115.000000,0.800000,1.326389
116.000000,0.800000,1.319444
117.000000,0.800000,1.326389
118.000000,0.800000,1.333333
119.000000,0.800000,1.333333
120.000000,0.800000,1.333333
121.000000,0.800000,1.333333
122.000000,0.800000,1.340278
123.000000,0.800000,1.340278
124.000000,0.800000,1.340278
125.000000,0.800000,1.333333
126.000000,0.800000,1.347222
127.000000,0.800000,1.340278
128.000000,0.800000,1.340278
129.000000,0.800000,1.340278
130.000000,0.800000,1.347222
131.000000,0.800000,1.340278
132.000000,0.800000,1.340278
133.000000,0.800000,1.347222
134.000000,0.800000,1.347222
135.000000,0.800000,1.340278
136.000000,0.800000,1.340278
137.000000,0.800000,1.347222
138.000000,0.800000,1.347222
139.000000,0.800000,1.340278
140.000000,0.800000,1.340278
141.000000,0.800000,1.347222
142.000000,0.800000,1.347222
143.000000,0.800000,1.340278
144.000000,0.800000,1.347222
145.000000,0.800000,1.347222
146.000000,0.800000,1.340278
147.000000,0.800000,1.340278
148.000000,0.800000,1.347222
149.000000,0.800000,1.347222
150.000000,0.800000,1.340278
151.000000,0.800000,1.340278
152.000000,0.800000,1.347222
153.000000,0.800000,1.347222
154.000000,0.800000,1.340278
155.000000,0.800000,1.347222
156.000000,0.800000,1.347222
157.000000,0.800000,1.340278
158.000000,0.800000,1.340278
159.000000,0.800000,1.347222
160.000000,0.800000,1.347222
161.000000,0.800000,1.340278
162.000000,0.800000,1.347222
