r,u,omega
0.800000,0.528400,0.798611
0.800000,0.528600,0.798611
0.800000,0.528700,0.805556
0.800000,0.528800,0.798611
0.800000,0.527000,0.798611
0.800000,0.527900,0.798611
0.800000,0.528300,0.798611
0.800000,0.528500,0.798611
0.800000,0.528700,0.805556
0.800000,0.528800,0.798611
0.800000,0.527100,0.798611
0.800000,0.528000,0.805556
0.800000,0.528400,0.791667
0.800000,0.526700,0.798611
0.800000,0.529600,0.805556
0.800000,0.529200,0.805556
0.800000,0.527200,0.798611
0.800000,0.526200,0.798611
0.800000,0.527300,0.798611
0.800000,0.527800,0.798611
0.800000,0.528100,0.798611
0.800000,0.528300,0.805556
0.800000,0.528400,0.798611
0.800000,0.526700,0.798611
0.800000,0.527600,0.798611
0.800000,0.527900,0.791667
0.800000,0.528200,0.798611
0.800000,0.530200,0.805556
0.800000,0.529500,0.798611
0.800000,0.527500,0.798611
0.800000,0.528300,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.798611
0.800000,0.529000,0.805556
0.800000,0.529100,0.805556
0.800000,0.527400,0.798611
0.800000,0.526400,0.798611
0.800000,0.527600,0.798611
0.800000,0.528100,0.798611
0.800000,0.528400,0.798611
0.800000,0.528600,0.805556
0.800000,0.528800,0.798611
0.800000,0.527000,0.798611
0.800000,0.528000,0.798611
0.800000,0.528300,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.805556
0.800000,0.528900,0.798611
0.800000,0.527100,0.798611
0.800000,0.528100,0.798611
0.800000,0.528400,0.798611
0.800000,0.528700,0.798611
0.800000,0.528900,0.805556
0.800000,0.529000,0.798611
0.800000,0.527300,0.798611
0.800000,0.528200,0.805556
0.800000,0.528600,0.791667
0.800000,0.526900,0.805556
0.800000,0.529800,0.798611
0.800000,0.527500,0.805556
0.800000,0.528300,0.798611
0.800000,0.526800,0.798611
0.800000,0.527800,0.798611
0.800000,0.528200,0.798611
0.800000,0.528500,0.798611
0.800000,0.528700,0.805556
0.800000,0.528800,0.798611
0.800000,0.527000,0.798611
0.800000,0.528000,0.798611
0.800000,0.528300,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.805556
0.800000,0.528900,0.798611
0.800000,0.527100,0.798611
0.800000,0.528100,0.798611
0.800000,0.528400,0.798611
0.800000,0.528700,0.798611
0.800000,0.528900,0.805556
0.800000,0.529000,0.798611
0.800000,0.527200,0.798611
0.800000,0.528200,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.798611
0.800000,0.529000,0.805556
0.800000,0.529100,0.798611
0.800000,0.527400,0.798611
0.800000,0.528300,0.798611
0.800000,0.528700,0.798611
0.800000,0.529000,0.798611
0.800000,0.529100,0.805556
0.800000,0.529300,0.805556
0.800000,0.527500,0.798611
0.800000,0.526600,0.798611
0.800000,0.527800,0.798611
0.800000,0.528300,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.805556
0.800000,0.529000,0.798611
0.800000,0.527200,0.798611
0.800000,0.528200,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.805556
0.800000,0.529000,0.798611
0.800000,0.527200,0.805556
0.800000,0.528200,0.798611
0.800000,0.526700,0.798611
0.800000,0.527700,0.798611
0.800000,0.528200,0.798611
0.800000,0.528400,0.798611
0.800000,0.528600,0.805556
0.800000,0.528800,0.791667
0.800000,0.527000,0.805556
0.800000,0.529800,0.791667
0.800000,0.527500,0.798611
0.800000,0.530200,0.805556
0.800000,0.529700,0.805556
0.800000,0.527700,0.798611
0.800000,0.526700,0.798611
0.800000,0.527800,0.798611
0.800000,0.528300,0.798611
0.800000,0.528600,0.798611
