r,u,omega
0.993700,0.631700,0.993056
0.995000,0.631700,1.000000
0.996200,0.632400,0.993056
0.997500,0.631600,0.993056
0.998700,0.633600,1.000000
1.000000,0.635200,1.000000
1.001300,0.635000,1.000000
1.002500,0.635600,1.006944
1.003700,0.636500,1.000000
1.005000,0.635800,1.000000
1.006300,0.637900,1.013889
1.007500,0.639600,1.006944
1.008700,0.637500,1.006944
1.010000,0.639000,1.006944
1.011300,0.640200,1.006944
1.012500,0.641600,1.020833
1.013700,0.643000,1.013889
1.015000,0.640700,1.013889
1.016300,0.642100,1.013889
1.017500,0.643200,1.013889
1.018700,0.644500,1.020833
1.020000,0.645900,1.020833
1.021300,0.645500,1.020833
1.022500,0.645900,1.020833
1.023700,0.646800,1.020833
1.025000,0.647900,1.034722
1.026300,0.649100,1.020833
1.027500,0.646800,1.027778
1.028700,0.649900,1.027778
1.030000,0.650100,1.027778
1.031200,0.651000,1.041667
1.032500,0.652100,1.027778
1.033800,0.649700,1.034722
1.035000,0.652700,1.034722
1.036200,0.652900,1.034722
1.037500,0.653700,1.041667
1.038700,0.654800,1.034722
1.040000,0.654100,1.041667
1.041200,0.656300,1.041667
1.042500,0.656200,1.041667
1.043700,0.656800,1.048611
1.045000,0.657700,1.041667
1.046200,0.657000,1.041667
1.047500,0.659100,1.048611
1.048700,0.660800,1.055556
1.050000,0.660500,1.048611
1.051200,0.659300,1.048611
1.052500,0.661000,1.055556
1.053800,0.662500,1.048611
1.055000,0.662000,1.062500
1.056200,0.664400,1.055556
1.057500,0.662400,1.055556
1.058700,0.664000,1.062500
1.060000,0.665300,1.055556
1.061200,0.664800,1.069444
1.062500,0.667000,1.062500
1.063800,0.665000,1.062500
1.065000,0.666500,1.062500
1.066200,0.667700,1.062500
1.067500,0.669000,1.069444
1.068700,0.670400,1.069444
1.070000,0.670000,1.069444
1.071200,0.670400,1.069444
1.072500,0.671300,1.076389
1.073800,0.672400,1.076389
1.075000,0.671700,1.069444
1.076200,0.672000,1.076389
1.077500,0.674600,1.076389
1.078800,0.674700,1.083333
1.080000,0.675500,1.076389
1.081200,0.674700,1.076389
1.082500,0.676700,1.083333
1.083800,0.678400,1.083333
1.085000,0.678200,1.090278
1.086200,0.678800,1.083333
1.087500,0.677900,1.083333
1.088800,0.679900,1.090278
1.090000,0.681500,1.097222
1.091200,0.681200,1.090278
1.092500,0.679900,1.090278
1.093800,0.681600,1.090278
1.095000,0.683000,1.097222
1.096200,0.684400,1.097222
1.097500,0.684000,1.097222
1.098700,0.684500,1.097222
1.100000,0.685300,1.097222
1.101200,0.686400,1.104167
1.102500,0.687600,1.104167
1.103700,0.687100,1.104167
1.105000,0.687500,1.104167
1.106300,0.688300,1.104167
1.107500,0.689300,1.111111
1.108700,0.690400,1.111111
1.110000,0.689800,1.104167
1.111200,0.690200,1.111111
1.112500,0.692800,1.118056
1.113700,0.692900,1.111111
1.115000,0.691900,1.118056
1.116300,0.693800,1.111111
1.117500,0.693500,1.118056
1.118700,0.695800,1.125000
1.120000,0.695800,1.118056
1.121200,0.694700,1.118056
1.122500,0.696500,1.118056
1.123700,0.698000,1.125000
1.125000,0.699500,1.125000
1.126300,0.699200,1.125000
1.127500,0.699700,1.125000
1.128700,0.700700,1.131944
1.130000,0.701800,1.131944
1.131200,0.701200,1.131944
1.132500,0.701600,1.131944
1.133700,0.702300,1.131944
1.135000,0.703300,1.138889
1.136300,0.704500,1.138889
1.137500,0.703900,1.131944
1.138700,0.704200,1.138889
1.140000,0.706800,1.145833
1.141300,0.706900,1.138889
1.142500,0.705800,1.145833
1.143700,0.707700,1.138889
1.145000,0.707400,1.145833
1.146300,0.709700,1.145833
1.147500,0.709700,1.145833
1.148700,0.710400,1.152778
1.150000,0.711400,1.145833
1.151300,0.710700,1.159722
1.152500,0.712900,1.152778
1.153700,0.710900,1.152778
1.155000,0.712300,1.152778
1.156200,0.713500,1.159722
1.157500,0.714800,1.159722
1.158700,0.714200,1.152778
1.160000,0.714600,1.159722
1.161200,0.717200,1.159722
1.162500,0.717300,1.166667
1.163700,0.718200,1.166667
1.165000,0.717400,1.159722
1.166200,0.717600,1.166667
1.167500,0.720100,1.173611
1.168800,0.720200,1.166667
1.170000,0.719100,1.166667
1.171200,0.720900,1.173611
1.172500,0.722400,1.173611
1.173700,0.722000,1.173611
1.175000,0.722500,1.173611
1.176200,0.723300,1.173611
1.177500,0.724400,1.180556
1.178800,0.725600,1.180556
1.180000,0.725000,1.180556
1.181200,0.725400,1.173611
1.182500,0.726100,1.187500
1.183700,0.729000,1.187500
1.185000,0.727400,1.180556
1.186200,0.727300,1.180556
1.187500,0.729700,1.187500
1.188800,0.731500,1.194444
1.190000,0.731400,1.187500
1.191200,0.730200,1.187500
1.192500,0.732000,1.194444
1.193700,0.733500,1.194444
1.195000,0.733200,1.194444
1.196200,0.733700,1.194444
1.197500,0.734600,1.201389
1.198800,0.735600,1.194444
1.200000,0.735000,1.208333
1.201200,0.737200,1.194444
1.202500,0.735200,1.201389
1.203800,0.738500,1.208333
1.205000,0.738900,1.208333
1.206200,0.738000,1.201389
1.207500,0.738200,1.201389
1.208800,0.740600,1.215278
1.210000,0.742600,1.208333
1.211200,0.740600,1.215278
1.212500,0.742200,1.208333
1.213800,0.741600,1.208333
1.215000,0.743800,1.222222
1.216200,0.745600,1.215278
1.217500,0.743600,1.215278
1.218800,0.745000,1.215278
1.220000,0.746300,1.229167
1.221200,0.747700,1.215278
1.222500,0.745400,1.222222
1.223700,0.748500,1.222222
1.225000,0.748800,1.229167
1.226200,0.749700,1.229167
1.227500,0.749000,1.229167
1.228700,0.749200,1.222222
1.230000,0.749900,1.236111
1.231300,0.752600,1.229167
1.232500,0.751000,1.229167
1.233700,0.752700,1.236111
1.235000,0.754200,1.236111
1.236200,0.753800,1.236111
1.237500,0.754200,1.236111
1.238700,0.755000,1.236111
1.240000,0.756100,1.243056
1.241300,0.757300,1.243056
1.242500,0.756700,1.243056
1.243700,0.757100,1.236111
1.245000,0.757900,1.250000
1.246200,0.760700,1.250000
1.247500,0.759200,1.243056
1.248700,0.759100,1.250000
1.250000,0.761400,1.250000
1.251300,0.761400,1.256944
1.252500,0.762100,1.243056
1.253700,0.761200,1.256944
1.255000,0.765000,1.256944
1.256200,0.763900,1.256944
1.257500,0.764100,1.256944
1.258700,0.764800,1.256944
1.260000,0.765700,1.263889
1.261300,0.766800,1.256944
1.262500,0.766200,1.256944
1.263700,0.768400,1.263889
1.265000,0.770100,1.270833
1.266300,0.770000,1.263889
1.267500,0.768800,1.263889
1.268700,0.770600,1.270833
1.270000,0.772100,1.270833
1.271300,0.771700,1.270833
1.272500,0.772200,1.270833
1.273700,0.773100,1.270833
1.275000,0.774200,1.277778
1.276300,0.775400,1.277778
1.277500,0.774900,1.277778
1.278700,0.775300,1.277778
1.280000,0.776100,1.284722
1.281200,0.777100,1.277778
1.282500,0.776400,1.277778
1.283700,0.778500,1.284722
1.285000,0.780200,1.291667
1.286200,0.780000,1.284722
1.287500,0.778700,1.284722
1.288700,0.780500,1.284722
1.290000,0.781900,1.298611
1.291200,0.783400,1.284722
1.292500,0.781100,1.291667
1.293700,0.784300,1.298611
1.295000,0.784700,1.298611
1.296200,0.783800,1.291667
1.297500,0.783900,1.298611
1.298700,0.786300,1.298611
1.300000,0.786400,1.298611
1.298700,0.787100,1.298611
1.297500,0.788100,1.305556
1.296200,0.788600,1.305556
1.295000,0.787000,1.305556
1.293700,0.786000,1.305556
1.292500,0.785100,1.305556
1.291200,0.784300,1.305556
1.290000,0.783400,1.312500
1.288700,0.782400,1.298611
1.287500,0.779300,1.305556
1.286200,0.780800,1.312500
1.285000,0.778900,1.298611
1.283700,0.775300,1.298611
1.282500,0.776300,1.305556
1.281200,0.775800,1.298611
1.280000,0.772900,1.298611
1.278700,0.772400,1.291667
1.277500,0.771100,1.298611
1.276300,0.771300,1.291667
1.275000,0.768600,1.291667
1.273700,0.768100,1.284722
1.272500,0.766800,1.284722
1.271300,0.767100,1.284722
1.270000,0.766200,1.277778
1.268700,0.764900,1.277778
1.267500,0.765200,1.284722
1.266300,0.764500,1.277778
1.265000,0.761500,1.270833
1.263700,0.760900,1.270833
1.262500,0.761400,1.270833
1.261200,0.760800,1.270833
1.260000,0.759800,1.263889
1.258700,0.758400,1.263889
1.257500,0.758700,1.270833
