r,omega,u
50,51.9727,-0.117188
50,51.9727,-0.121094
50,51.9727,-0.121094
50,51.9727,-0.125
50,51.9609,-0.121094
50,51.9492,-0.125
50,51.9492,-0.132813
50,51.9219,-0.121094
50,51.8984,-0.121094
50,51.875,-0.125
50,51.8594,-0.132813
50,51.8359,-0.125
50,51.7969,-0.121094
50,51.7617,-0.117188
50,51.7227,-0.117188
50,51.6719,-0.109375
50,51.5977,-0.0898438
50,51.5352,-0.09375
50,51.4727,-0.0898438
50,51.4219,-0.09375
50,51.3594,-0.0820313
50,51.3242,-0.09375
50,51.2852,-0.09375
50,51.25,-0.0898438
50,51.2227,-0.0976563
50,51.1992,-0.09375
50,51.1719,-0.09375
50,51.1602,-0.101563
50,51.1367,-0.09375
50,51.1094,-0.09375
50,51.0859,-0.09375
50,51.0742,-0.101563
50,51.0625,-0.101563
50,51.0352,-0.09375
50,51.0234,-0.0976563
50,51.0117,-0.101563
50,51,-0.101563
50,50.9727,-0.09375
50,50.9609,-0.0976563
50,50.9492,-0.101563
50,50.9375,-0.101563
50,50.9219,-0.101563
50,50.9219,-0.109375
50,50.9102,-0.101563
50,50.8867,-0.09375
50,50.875,-0.101563
50,50.8594,-0.101563
50,50.8477,-0.101563
50,50.8359,-0.101563
50,50.8242,-0.101563
50,50.8125,-0.101563
50,50.7969,-0.101563
50,50.7734,-0.09375
50,50.7617,-0.101563
50,50.75,-0.101563
50,50.7344,-0.101563
50,50.7227,-0.101563
50,50.7109,-0.101563
50,50.7109,-0.109375
50,50.6992,-0.101563
50,50.6875,-0.101563
50,50.6719,-0.101563
50,50.6484,-0.09375
50,50.6484,-0.109375
50,50.625,-0.09375
50,50.6094,-0.101563
50,50.5977,-0.101563
50,50.5859,-0.101563
50,50.5625,-0.09375
50,50.5352,-0.0898438
50,50.5117,-0.0898438
50,50.5,-0.09375
50,50.4727,-0.0859375
50,50.4492,-0.0859375
50,50.4375,-0.0898438
50,50.4219,-0.0898438
50,50.4219,-0.0976563
50,50.4102,-0.0898438
50,50.3984,-0.0898438
50,50.3867,-0.0859375
50,50.375,-0.0859375
50,50.375,-0.09375
50,50.3594,-0.0859375
50,50.3477,-0.0859375
50,50.3477,-0.09375
50,50.3477,-0.09375
50,50.3477,-0.09375
50,50.3359,-0.0859375
50,50.3359,-0.09375
50,50.3359,-0.09375
50,50.3242,-0.0859375
50,50.3242,-0.09375
50,50.3242,-0.09375
50,50.3125,-0.0859375
50,50.3125,-0.09375
50,50.3125,-0.09375
50,50.3125,-0.09375
50,50.2969,-0.0898438
50,50.2969,-0.09375
50,50.2969,-0.09375
50,50.2969,-0.0976563
50,50.2969,-0.0976563
50,50.2969,-0.0976563
50,50.2852,-0.0898438
50,50.2852,-0.0976563
50,50.2852,-0.0976563
50,50.2852,-0.0976563
50,50.2852,-0.0976563
50,50.2734,-0.0898438
50,50.2734,-0.0976563
50,50.2734,-0.0976563
50,50.2734,-0.0976563
50,50.2734,-0.101563
50,50.2734,-0.101563
50,50.2617,-0.09375
50,50.2617,-0.101563
50,50.2617,-0.101563
50,50.2617,-0.101563
50,50.25,-0.09375
50,50.25,-0.101563
50,50.25,-0.101563
50,50.25,-0.101563
50,50.25,-0.101563
50,50.25,-0.101563
50,50.25,-0.105469
50,50.2344,-0.0976563
50,50.2344,-0.101563
50,50.2344,-0.105469
50,50.2344,-0.105469
50,50.2227,-0.0976563
50,50.2227,-0.105469
50,50.2227,-0.105469
50,50.2227,-0.105469
50,50.2227,-0.105469
50,50.2109,-0.0976563
50,50.2109,-0.105469
