r,omega,u
21.3125,21.0352,0.171875
21.375,21.0742,0.175781
21.4375,21.125,0.171875
21.5,21.1719,0.175781
21.5625,21.2344,0.167969
21.625,21.2969,0.167969
21.6875,21.3867,0.15625
21.75,21.5,0.136719
21.8125,21.6602,0.101563
21.875,21.8594,0.0664063
21.9375,22.0469,0.0625
22,22.2109,0.0625
22.0625,22.3359,0.0742188
22.125,22.4375,0.0820313
22.1875,22.5234,0.0859375
22.25,22.6094,0.0820313
22.3125,22.6719,0.09375
22.375,22.7344,0.09375
22.4375,22.7852,0.0976563
22.5,22.8242,0.105469
22.5625,22.875,0.101563
22.625,22.9219,0.101563
22.6875,22.9727,0.101563
22.75,23.0234,0.101563
22.8125,23.0625,0.109375
22.875,23.1094,0.105469
22.9375,23.1484,0.113281
23,23.1875,0.113281
23.0625,23.2227,0.117188
23.125,23.2617,0.121094
23.1875,23.3242,0.105469
23.25,23.375,0.113281
23.3125,23.4375,0.105469
23.375,23.5117,0.0976563
23.4375,23.5977,0.0898438
23.5,23.6875,0.0859375
23.5625,23.7617,0.0898438
23.625,23.8477,0.078125
23.6875,23.9102,0.0898438
23.75,23.9375,0.113281
23.8125,23.9375,0.132813
23.875,23.9492,0.132813
23.9375,23.9492,0.144531
24,23.9492,0.152344
24.0625,23.9609,0.152344
24.125,23.9844,0.148438
24.1875,24.0117,0.152344
24.25,24.0352,0.15625
24.3125,24.0625,0.164063
24.375,24.0977,0.160156
24.4375,24.1484,0.15625
24.5,24.1992,0.15625
24.5625,24.2227,0.175781
24.625,24.2617,0.171875
24.6875,24.2852,0.183594
24.75,24.3242,0.183594
24.8125,24.375,0.179688
24.875,24.4219,0.183594
24.9375,24.4727,0.183594
25,24.5469,0.171875
25.0625,24.6484,0.15625
25.125,24.7734,0.140625
25.1875,24.9609,0.09375
25.25,25.1719,0.0664063
25.3125,25.3594,0.0664063
25.375,25.5234,0.0664063
25.4375,25.6602,0.0703125
25.5,25.7617,0.0859375
25.5625,25.8477,0.0898438
25.625,25.9102,0.101563
25.6875,25.9727,0.0976563
25.75,26.0117,0.113281
25.8125,26.0625,0.109375
25.875,26.1094,0.109375
25.9375,26.1602,0.109375
26,26.2344,0.09375
26.0625,26.2969,0.101563
26.125,26.3867,0.0820313
26.1875,26.4609,0.0859375
26.25,26.5469,0.078125
26.3125,26.625,0.0820313
26.375,26.6875,0.0859375
26.4375,26.7227,0.101563
26.5,26.75,0.109375
26.5625,26.7734,0.113281
26.625,26.7969,0.117188
26.6875,26.8125,0.128906
26.75,26.8242,0.132813
26.8125,26.8477,0.132813
26.875,26.875,0.136719
26.9375,26.9102,0.132813
27,26.9219,0.148438
27.0625,26.9492,0.148438
27.125,26.9609,0.160156
27.1875,27,0.152344
27.25,27.0352,0.152344
27.3125,27.0625,0.164063
27.375,27.0977,0.164063
27.4375,27.1484,0.160156
27.5,27.1875,0.167969
27.5625,27.2227,0.171875
27.625,27.2734,0.167969
27.6875,27.3477,0.15625
27.75,27.4492,0.140625
27.8125,27.5742,0.121094
27.875,27.7344,0.0898438
27.9375,27.8984,0.0820313
28,28.0469,0.078125
28.0625,28.1602,0.0898438
28.125,28.2344,0.109375
28.1875,28.2852,0.125
28.25,28.3477,0.117188
28.3125,28.4219,0.109375
28.375,28.5,0.105469
28.4375,28.5742,0.105469
28.5,28.6484,0.101563
28.5625,28.7109,0.109375
28.625,28.7617,0.117188
28.6875,28.8242,0.109375
28.75,28.875,0.117188
28.8125,28.9375,0.109375
28.875,28.9844,0.117188
28.9375,29.0352,0.117188
29,29.0859,0.121094
29.0625,29.1367,0.121094
29.125,29.1719,0.128906
29.1875,29.2109,0.132813
29.25,29.2617,0.125
29.3125,29.3125,0.128906
29.375,29.3867,0.113281
29.4375,29.4492,0.121094
29.5,29.5352,0.105469
29.5625,29.6094,0.109375
29.625,29.7109,0.09375
29.6875,29.7969,0.09375
29.75,29.8867,0.09375
29.8125,29.9375,0.113281
29.875,29.9727,0.121094
